Year,Month,Day,Cases and deaths,Responses
2020,March,9,"On the same date, Värmland had a total of 21 cases, of which 20 had visited northern Italy, and 19 of these were connected to the same bus tour. One case has been infected in the Netherlands.[41] One of the 21 cases is admitted to Karlstad hospital. The majority of the cases are from the Karlstad area.[42] Further, six new cases were confirmed in Västra Götaland, of which two are in the Skaraborg area.[43]","On the same date, approx. 30-40 health care staff at St. Göran Hospital in Stockholm were quarantined after having cared for a COVID-19 infected patient. Another patient at the same hospital has been tested and is awaiting results. The hospital immediately went into a state of readiness to handle the situation.[45]"
2020,March,9,"On the same date, the first community transmissions were detected in Sweden. Two persons in the Stockholm area who had no known connection to any of the risk areas or an infected person, were found to be infected, both patients at St. Göran Hospital since Friday 6 March in two different wards.[44] Both cases have been transferred to Huddinge Hospital for further investigation.[45]",
2020,March,9,"One of the cases in Västra Götaland was a patient at Kungälv Hospital with signs of respiratory symptoms since approx. a week who was tested for COVID-19 after the decision of the Public Health Agency of Sweden on 4 March. This patient was tested on Sunday 8 March and confirmed positive a day later. The patient was immediately transferred to Sahlgrenska University Hospital and the affected ward at the Kungälv Hospital has been closed for patient admission. Highly exposed staff at Kungälv Hospital have been told to stay home for a while, and contact tracing has begun.[46]",
2020,March,10,"Three cases were reported in Scania,[48] 60 in the Stockholm region,[49] 15 in Västra Götaland,[50] two first cases in Sörmland region,[51] one first case in Jämtland[52] and first three cases in Västernorrland region.[53] Stockholm region announced this day that two of the 207 infected cases in the region were in intensive care.[49] One of these patients is a patient from the intensive care unit at Södersjukhuset Hospital whom was confirmed infected on Monday 9 March, and immediately moved to Karolinska University Hospital for further isolated intensive care. The patient has relatives whom have recently travelled in Europe, but the hospital announces it is too early to determine whether the patient has been infected by this person. Contact tracing has begun and Södersjukhuset Hospital has gone into a state of readiness to handle the situation and are trying to identify people who may have been exposed to the virus.[54] In the Stockholm region, a total of ten patients have been hospitalised.[55] One of the Stockholm cases is a judge at the Svea Court of Appeal who was infected on a trip abroad, although not a risk area. Due to this, the court has told 25 staff to self-quarantine and some hearings have been postponed.[56]",The Södersjukhuset Hospital in Stockholm went into a state of readiness after an ICU patient was confirmed to have COVID-19. The patient was transferred to Karolinska University Hospital for further isolated intensive care. It is not known whether the patient got the virus from a relative traveling in Europe and whether the patient has infected staff or patients. Approx. 70 staff have been in contact with the patient but the hospital administration has decided to allow them to continue working until they show symptoms of infection.[57] This decision has received internal criticism from staff of not being forceful enough.[58]
2020,March,10,"In Västra Götaland region, one patient is considered critically ill but stable.[55]","After this announcement, Blekinge Health Care Region enforced a total ban on visits by family members and friends at health care and elderly establishments and hospitals in the region.[59] Region Värmland enforced a similar ban on all visits to hospitals and health care establishments in the region.[60]"
2020,March,10,,"After the announcement of the Public Health Agency of Sweden to protect the elderly and the frail, Stockholm Region decided to change their strategy for testing for COVID-19 to mainly focus on the very ill and not just people who had visited risk areas.[61] Danderyd Hospital also went into a state of readiness due to the situation of the COVID-19 spread in Stockholm.[62]"
2020,March,11,"Blekinge, Dalarna, and Västmanland reported their first cases; one, one and four respectively. The first death was reported, in Stockholm, a person in the 70s, believed to have been infected through community approx. spread a week earlier.[63] The government also determined that testing should be limited to people who are perceived to be at greatest risk.[64]","The Stockholm region decided to only test hospitalised patients from risk groups and health care staff with symptoms. Other regions will follow suit within the coming week. This means the data on the Public Health Agency of Swedens website is not reflecting the actual infected persons in the country, since local transmission has been ongoing since at least early March.[65][66][67]"
2020,March,11,On 11 March Stockholm region decided to only test hospitalised patients from risk groups and health care staff with symptoms. Other regions will follow suit within the coming week. This means the data on the Public Health Agency of Swedens website is not reflecting the actual infected persons in the country since local transmission has been ongoing since at least early March.[65][66][67]',"The same date, Södertälje Hospital went into a state of readiness due to the situation in Stockholm region.[61]"
2020,March,11,,"The government has banned all gatherings larger than 500 people, under threat of fines and a six-month prison sentence.[68]"
2020,March,11,,"The same date, the government announced that the qualifying day of sickness ('karensdag') will be temporarily abolished in order to ensure that people feeling slightly ill will stay at home from work. This means that the state will pay sick pay allowance from the first day the employee is absent from work. The decision is effective as of 11 March 2020 and is believed to reduce the virus spreading as well as the burden on the health care system.[69]"
2020,March,12,Gotland identified the first two infected persons on the island; two non-related men who had returned from travel to risk-areas abroad.[70],
2020,March,14,"The second death in Sweden was reported on 14 March, an 85-year-old woman in the Västra Götaland area belonging to a risk group,[71] and the third the same day, an elderly person in the Stockholm region.[72]","On the same date, 814 persons in Sweden had been confirmed sick with COVID-19. Stockholm region has since 11 March only tested persons from risk groups and health care staff with symptoms.[65] On 12 March, Scania region decided to do the same, and the other regions in Sweden will follow suit within a week.[66][67]"
2020,March,18,Swedish government recommend schools to make use of distance learning.,
2020,March,23,"The country exceeded more than 2,000 cases which was the second milestone in only one week since the country reached 1,000 cases on 15 March 2020. Death toll hit the record of 10 deaths in one day.[citation needed]",
2020,March,25,Death toll hit more than 20 new deaths in one day.[citation needed],
2020,March,27,"The country exceeded more than 3,000 cases, four days after the milestone of 2,000 cases was reached (on 23 March 2020).[citation needed]",
2020,April,1,Death toll hit more than 50 new deaths in one day.[citation needed],
